epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.4251,3.48062,4.38681,5.76498,3.05864,0.01211,0.16667,0.00578,0.00226,0,0,0,0,3.66251,3.69971,10.6292,2.66951,0.000541775,0.000541775,0.000541775
2,201.917,3.13387,3.53482,4.8507,2.83159,0.01211,0.16667,0.00578,0.00226,0,0,0,0,4.63258,4.66034,5351.81,5.3279,0.00109201,0.00109201,0.00109201
3,303.489,3.13918,3.30661,5.30469,2.82206,0.01211,0.16667,0.00578,0.00226,0,0,0,0,4.63258,4.66034,5351.81,5.3279,0.00163674,0.00163674,0.00163674
4,411.386,3.43881,3.5888,6.71754,3.09236,0.01211,0.16667,0.00578,0.00226,0,0,0,0,0.62742,549.632,5.72525e+06,17.2813,0.00164225,0.00164225,0.00164225
5,514.977,3.32293,3.40283,8.18167,3.05122,0.01211,0.16667,0.00578,0.00226,0,0,0,0,1.79085,20158.7,2.96551e+09,365.148,0.00163399,0.00163399,0.00163399
6,620.463,3.35543,3.27434,8.05607,3.15057,0.01211,0.16667,0.00578,0.00226,0,0,0,0,1.79085,20158.7,2.96551e+09,365.148,0.00162574,0.00162574,0.00162574
7,719.504,3.18331,3.39689,8.03721,2.98918,0.01211,0.16667,0.00578,0.00226,0,0,0,0,4.75204,1006.55,20254.9,100.393,0.00161749,0.00161749,0.00161749
8,820.612,3.36229,3.212,6.04954,2.99823,0.01211,0.16667,0.00578,0.00226,0,0,0,0,4.75204,1006.55,20254.9,100.393,0.00160924,0.00160924,0.00160924
9,923.148,3.1267,3.06773,4.30215,2.85536,0.01211,0.16667,0.00578,0.00226,0,0,0,0,0,0,2.4411e+06,0,0.00160099,0.00160099,0.00160099
10,1037.83,3.07092,3.2375,3.96891,2.91232,0.01211,0.16667,0.00578,0.00226,0,0,0,0,0,0,51088.1,0,0.00159274,0.00159274,0.00159274
11,1138.05,3.38233,3.4564,4.0598,3.00501,0.01211,0.16667,0.00578,0.00226,0,0,0,0,0,0,51088.1,0,0.00158448,0.00158448,0.00158448
12,1263.08,3.48632,3.30201,4.0735,2.97144,0.01211,0.16667,0.00578,0.00226,0,0,0,0,0,0,144351,0,0.00157623,0.00157623,0.00157623
13,1367.78,3.27827,3.31979,3.99,2.95469,0.01211,0.16667,0.00578,0.00226,0,0,0,0,0,0,0,0,0.00156798,0.00156798,0.00156798
14,1472.09,2.81163,2.72319,3.67364,2.54775,0.01211,0.16667,0.00578,0.00226,0,0,0,0,0,0,0,0,0.00155973,0.00155973,0.00155973
15,1581.13,3.33392,2.94393,3.84108,2.96243,0.01211,0.16667,0.00578,0.00226,0,0,0,0,0,0,216.851,0,0.00155148,0.00155148,0.00155148
16,1689.77,3.14616,2.9642,3.8196,2.95299,0.01211,0.16667,0.00578,0.00226,0,0,0,0,0,0,216.851,0,0.00154323,0.00154323,0.00154323
17,1794.57,3.03568,2.45662,3.38431,2.8926,0.01211,0.16667,0.00578,0.00226,0,0,0,0,0,0,0,0,0.00153497,0.00153497,0.00153497
18,1891.95,3.05207,2.72926,3.45929,2.73725,0.01211,0.16667,0.00578,0.00226,0,0,0,0,0,0,0,0,0.00152672,0.00152672,0.00152672
19,1993.58,2.95424,2.88951,3.5632,2.6291,0.01211,0.16667,0.00578,0.00226,0,0,0,0,0,0,0,0,0.00151847,0.00151847,0.00151847
20,2099.37,2.86437,2.53867,3.40337,2.84034,0.01211,0.16667,0.00578,0.00226,0,0,0,0,0.00013,12.9862,0.62463,0.00046,0.00151022,0.00151022,0.00151022
21,2209.14,3.18128,2.94284,3.45258,2.91134,0.01211,0.16667,0.00578,0.00226,0,0,0,0,0,0,9e-05,0,0.00150197,0.00150197,0.00150197
22,2309.07,3.06464,2.87679,3.33938,2.96754,0.01211,0.16667,0.00578,0.00226,0,0,0,0,0,0,9e-05,0,0.00149372,0.00149372,0.00149372
23,2417.34,2.78503,2.68519,3.41167,2.70632,0.01211,0.16667,0.00578,0.00226,0,0,0,0,0,0,0,0,0.00148546,0.00148546,0.00148546
24,2520.22,3.02733,2.70202,3.15395,2.93352,0.01211,0.16667,0.00578,0.00226,0,0,0,0,0,0,0,0,0.00147721,0.00147721,0.00147721
25,2631.54,2.99955,2.57719,3.38726,2.76384,0.01211,0.16667,0.00578,0.00226,0,0,0,0,0,7.97255,1.37292,0,0.00146896,0.00146896,0.00146896
26,2734.68,2.90552,2.59335,3.10319,2.73862,0.01211,0.16667,0.00578,0.00226,0,0,0,0,3.77554,111.906,9.77457,2.289,0.00146071,0.00146071,0.00146071
