epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,329.663,2.14191,2.39501,2.13266,2.25669,0.5409,0.65217,0.59404,0.3684,0.501,0.6087,0.51915,0.09613,1.74504,0.94934,2.13297,1.80584,0.00055011,0.00055011,0.00055011
2,610.569,2.03025,2.05436,2.02952,2.05788,0.59001,0.65217,0.57086,0.28736,0.59838,0.65217,0.51257,0.12073,1.78915,1.15337,2.91306,1.86698,0.00109483,0.00109483,0.00109483
3,882.642,2.23489,1.98928,2.19073,2.18195,0.5383,0.3913,0.45912,0.26303,0.41496,0.26087,0.27497,0.06653,1.87584,1.35748,3.08122,1.92205,0.00162855,0.00162855,0.00162855
4,1122.59,2.08173,1.63911,2.10035,2.07759,0.61232,0.3913,0.44451,0.18056,0.5298,0.30435,0.37529,0.06941,1.89186,1.12014,2.7753,1.87824,0.00161749,0.00161749,0.00161749
5,1371.79,2.10466,1.86514,2.15309,2.06625,0.23276,0.47826,0.31516,0.14887,0.18267,0.3913,0.19311,0.04008,2.17206,1.23145,2.64568,1.9793,0.00160099,0.00160099,0.00160099
6,1623.72,2.2627,1.80124,2.30371,2.15606,0.23672,0.24316,0.20994,0.11646,0.11883,0.13043,0.12201,0.03307,2.25678,1.44715,3.77954,2.18785,0.00158448,0.00158448,0.00158448
7,1867.74,1.95153,1.76019,2.11449,1.95518,0.61579,0.3913,0.40521,0.20285,0.45645,0.32925,0.29254,0.05551,2.07946,1.25157,2.78204,1.97413,0.00156798,0.00156798,0.00156798
8,2107.65,2.02435,1.8217,1.99598,1.96884,0.53125,0.43478,0.47873,0.2978,0.53125,0.43478,0.46647,0.11458,1.91476,1.11471,2.52084,1.84093,0.00155148,0.00155148,0.00155148
9,2347.98,2.08926,1.6684,2.13798,2.10197,0.54708,0.47826,0.4852,0.25933,0.4943,0.3913,0.34677,0.06101,1.83677,1.3134,3.40124,1.82722,0.00153497,0.00153497,0.00153497
10,2590.63,1.91614,1.57141,1.94307,2.03952,0.50537,0.62224,0.56305,0.30196,0.48148,0.48469,0.46978,0.09824,1.65513,1.15523,4.34635,1.65775,0.00151847,0.00151847,0.00151847
11,2829.29,1.98238,1.73729,1.95076,2.01756,0.51869,0.47826,0.48332,0.28669,0.51869,0.47826,0.45838,0.10467,1.87938,1.29914,2.40988,1.86436,0.00150197,0.00150197,0.00150197
12,3069.49,2.11068,1.83358,1.96659,2.12106,0.38483,0.69565,0.48969,0.26673,0.39369,0.73411,0.45332,0.11833,1.84555,1.25716,2.57206,2.01901,0.00148546,0.00148546,0.00148546
13,3307.76,2.00955,1.60955,1.87985,2.04785,0.41795,0.47826,0.51213,0.23616,0.37995,0.43478,0.4905,0.11052,2.13796,1.20779,3.727,2.37791,0.00146896,0.00146896,0.00146896
14,3551.96,2.12749,1.58432,1.89613,2.11046,0.15916,0.43478,0.20357,0.04734,0.12419,0.3913,0.1539,0.02493,2.92063,1.20689,8.23977,2.88166,0.00145246,0.00145246,0.00145246
15,3800.86,1.97555,1.47715,1.8453,2.06489,0.08206,0.26087,0.10502,0.02051,0.06945,0.17391,0.05153,0.00579,3.52089,1.25246,17.1537,3.5464,0.00143595,0.00143595,0.00143595
16,4043.83,2.01515,1.74783,1.94578,1.91746,0.09104,0.26087,0.12677,0.02988,0.06069,0.17391,0.04476,0.00546,3.19239,1.41392,25.1386,3.44934,0.00141945,0.00141945,0.00141945
17,4286.07,2.10418,1.69608,1.99841,2.07373,0.13053,0.26087,0.10682,0.03395,0.1284,0.17391,0.06182,0.01313,2.62122,1.42248,14.9103,2.81842,0.00140295,0.00140295,0.00140295
18,4530.76,1.9359,1.54857,1.73657,1.91905,0.25648,0.43478,0.3213,0.11567,0.25499,0.50618,0.1855,0.03543,2.13175,1.29395,6.43956,2.34679,0.00138644,0.00138644,0.00138644
19,4772.73,1.88296,1.53233,1.66577,1.80712,0.41935,0.6087,0.44001,0.18494,0.4405,0.56522,0.44412,0.08216,2.13946,1.25227,3.73467,2.13561,0.00136994,0.00136994,0.00136994
20,5014.37,1.98634,1.8246,2.00685,2.02274,0.30525,0.47826,0.30469,0.0841,0.24928,0.34783,0.12676,0.03237,2.46568,1.29024,7.96695,2.6591,0.00135344,0.00135344,0.00135344
21,5264.73,1.86429,2.77261,1.92438,1.88288,0.43398,0.47826,0.37891,0.10479,0.22927,0.21739,0.09956,0.02069,2.48549,1.45951,8.28528,2.78157,0.00133693,0.00133693,0.00133693
22,5506.21,1.85026,1.54115,1.84074,1.87386,0.51786,0.3913,0.46668,0.20544,0.44561,0.30435,0.28862,0.04776,2.26927,1.37608,3.62241,2.29286,0.00132043,0.00132043,0.00132043
23,5753.25,2.20568,1.83851,2.03615,2.03398,0.53091,0.6087,0.53863,0.29531,0.48295,0.56522,0.4628,0.1124,1.98042,1.16712,2.07005,1.96165,0.00130393,0.00130393,0.00130393
24,5994.34,2.07773,1.65751,1.86346,2.02471,0.48017,0.6087,0.48093,0.25076,0.48999,0.56522,0.48674,0.11666,1.82537,1.01793,1.87222,1.88682,0.00128742,0.00128742,0.00128742
25,6239.52,1.90436,1.49071,1.8741,1.86992,0.41361,0.73913,0.46442,0.21617,0.36495,0.65217,0.34776,0.08248,1.88695,1.02104,2.09775,1.77114,0.00127092,0.00127092,0.00127092
26,6484.99,1.97041,1.50159,1.83713,1.83888,0.33441,0.69565,0.4524,0.18213,0.26749,0.52174,0.3677,0.06441,2.08901,1.14662,2.40651,2.07754,0.00125442,0.00125442,0.00125442
27,6729.4,1.96111,1.64778,1.87484,1.83961,0.32413,0.69565,0.39865,0.18478,0.31874,0.69565,0.32275,0.07429,1.8554,1.07286,2.40153,1.75118,0.00123791,0.00123791,0.00123791
28,6976.29,2.09401,1.74763,2.11014,2.06157,0.32342,0.65217,0.41182,0.1756,0.34728,0.69565,0.49514,0.13636,1.9036,1.03481,2.26612,1.81095,0.00122141,0.00122141,0.00122141
29,7228.62,1.85644,1.51512,1.83907,1.88514,0.32166,0.6087,0.40162,0.2114,0.32554,0.6087,0.48393,0.12874,1.83624,1.07124,2.31788,1.81548,0.00120491,0.00120491,0.00120491
30,7473.73,1.8801,1.51235,1.92612,1.88924,0.15826,0.3913,0.24717,0.10981,0.31016,0.30435,0.26205,0.06188,1.98488,1.13254,4.77446,2.03513,0.0011884,0.0011884,0.0011884
31,7718.62,1.63838,1.38503,1.63922,1.63459,0.23697,0.22995,0.19852,0.06339,0.257,0.25586,0.20264,0.0459,2.32119,1.11174,5.69742,2.26807,0.0011719,0.0011719,0.0011719
32,7962.88,1.98694,1.68613,1.86989,1.87746,0.25968,0.43478,0.31967,0.13833,0.23838,0.43478,0.23269,0.05885,2.39293,1.06541,2.74772,2.25383,0.0011554,0.0011554,0.0011554
33,8213.8,1.81246,1.48309,1.6965,1.84341,0.40292,0.30435,0.35057,0.17407,0.25521,0.52174,0.3156,0.0907,2.17921,1.03654,2.31751,2.05886,0.00113889,0.00113889,0.00113889
34,8468.24,1.73002,1.39948,1.6952,1.74551,0.397,0.3913,0.37048,0.09935,0.44941,0.3913,0.40979,0.13087,2.25923,1.03721,10.6016,2.34502,0.00112239,0.00112239,0.00112239
35,8714.3,1.8246,1.39392,1.63546,1.81286,0.3797,0.52174,0.39475,0.11739,0.39736,0.52174,0.4062,0.11373,2.33408,1.05525,5.48196,2.21156,0.00110589,0.00110589,0.00110589
36,8962.27,1.90448,1.54292,1.61006,1.88259,0.35281,0.73913,0.37681,0.2145,0.35281,0.73913,0.39721,0.10496,1.82147,0.95984,2.83869,1.7378,0.00108938,0.00108938,0.00108938
37,9209.94,1.92135,1.67516,1.69343,1.83361,0.50738,0.6273,0.58598,0.32117,0.48241,0.69565,0.53649,0.13056,1.61583,1.01308,2.84416,1.60321,0.00107288,0.00107288,0.00107288
38,9456.47,1.99463,1.62379,1.69935,1.98178,0.47119,0.56522,0.59031,0.3378,0.47119,0.56522,0.56332,0.15888,1.66805,1.06526,2.94613,1.72969,0.00105638,0.00105638,0.00105638
39,9705.37,1.89376,1.47612,1.71443,1.94632,0.4956,0.7265,0.54597,0.34853,0.41523,0.58691,0.47321,0.15194,1.76224,1.13281,2.36808,1.75218,0.00103987,0.00103987,0.00103987
