epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,195.027,2.05887,1.16043,1.58288,2.2602,0.01442,0.34783,0.00947,0.00292,0.02023,0.47826,0.01375,0.00236,3.53932,1.15254,37.0698,3.39774,0.000548721,0.000548721,0.000548721
2,392.89,2.2265,1.38588,1.84462,2.33512,0.20014,0.13043,0.03667,0.01482,0.04786,0.04348,0.00525,0.00069,2.83597,1.30329,4.24169,2.60468,0.00109345,0.00109345,0.00109345
3,591.655,2.06749,1.37175,1.88978,2.14463,0.13502,0.26087,0.08391,0.02126,0.00252,0.13043,0.00072,9.00E-05,2.8515,1.65598,5.27054,2.78296,0.00162719,0.00162719,0.00162719
4,808.522,2.21513,1.61068,2.1419,2.43384,0.15406,0.3913,0.15905,0.04805,0.09804,0.26087,0.07488,0.01252,2.75507,1.5113,5.10424,2.98034,0.00161749,0.00161749,0.00161749
5,1007.92,2.08709,1.46753,2.0188,2.29976,0.3247,0.65217,0.38955,0.12901,0.3095,0.54592,0.33298,0.04991,2.55431,1.16618,3.27237,2.98564,0.00160099,0.00160099,0.00160099
6,1204.33,2.1482,1.57544,2.11606,2.29082,0.26945,0.73913,0.28015,0.09071,0.14203,0.3913,0.15041,0.02096,2.479,1.36253,6.33061,2.9169,0.00158448,0.00158448,0.00158448
7,1400.06,1.93878,1.30905,1.79654,2.11816,0.4398,0.27368,0.2458,0.11676,0.44416,0.26087,0.20126,0.05837,3.0644,1.20111,3.31352,2.88978,0.00156798,0.00156798,0.00156798
8,1600.54,2.06817,1.34681,1.83669,2.29489,0.40164,0.3913,0.31619,0.09145,0.16163,0.17391,0.13828,0.03521,3.01832,1.27169,2.65025,2.787,0.00155148,0.00155148,0.00155148
9,1795.86,2.03577,1.36147,1.94378,2.20675,0.4049,0.73913,0.48698,0.17216,0.35423,0.65217,0.31802,0.0614,2.35627,1.16284,2.46532,2.39197,0.00153497,0.00153497,0.00153497
10,1992.41,2.04405,1.38401,1.83548,2.2548,0.49022,0.41862,0.44136,0.14918,0.49022,0.41862,0.36248,0.08984,2.69201,1.19518,2.4545,2.54822,0.00151847,0.00151847,0.00151847
11,2190.1,2.19308,1.20742,1.83855,2.46203,0.3996,0.34783,0.3217,0.12171,0.33597,0.26087,0.24418,0.07808,3.01596,1.54886,3.3188,3.09972,0.00150197,0.00150197,0.00150197
12,2386.36,2.15467,1.32329,1.90592,2.3176,0.36851,0.43478,0.3091,0.15163,0.42194,0.21739,0.17647,0.0568,2.79043,1.55708,2.38788,2.69489,0.00148546,0.00148546,0.00148546
13,2585.73,1.93944,1.29974,1.74098,2.17582,0.36532,0.27585,0.23507,0.09542,0.35573,0.26087,0.2033,0.05498,2.96954,1.53104,3.35298,2.7478,0.00146896,0.00146896,0.00146896
14,2781.03,2.02311,1.29474,1.77155,2.18131,0.40683,0.3286,0.20134,0.08392,0.21095,0.26087,0.12295,0.02872,3.11945,1.66408,3.78928,2.78374,0.00145246,0.00145246,0.00145246
15,2977.36,2.10433,1.27631,1.74449,2.27569,0.41454,0.58525,0.45728,0.21828,0.41454,0.58525,0.44666,0.12253,2.35766,1.07665,3.371,2.42326,0.00143595,0.00143595,0.00143595
16,3172.6,2.12418,1.25335,1.68281,2.34444,0.43581,0.63841,0.54671,0.22792,0.46185,0.67197,0.58392,0.13868,2.29727,1.02026,7.57839,2.4691,0.00141945,0.00141945,0.00141945
17,3372.52,2.03011,1.27076,1.72103,2.23077,0.42467,0.67426,0.56779,0.25984,0.45096,0.71453,0.5938,0.17988,2.26289,0.96564,4.41995,2.45073,0.00140295,0.00140295,0.00140295
18,3568.7,1.9708,1.25087,1.69536,2.14043,0.43729,0.6082,0.53961,0.21733,0.44898,0.6087,0.54998,0.1645,2.43349,0.98473,3.60657,2.57753,0.00138644,0.00138644,0.00138644
