epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,231.397,2.6519,2.85243,4.75732,2.43733,0.14523,0.47826,0.19943,0.04086,0.03731,0.13043,0.01673,0.00172,2.7336,1.79354,17.9756,2.72434,0.000548721,0.000548721,0.000548721
2,437.844,2.71771,4.36864,4.19454,2.49926,0.00737,0.52174,0.00504,0.00098,0,0,0,0,3.75613,7.41941,757.811,7.81549,0.00109345,0.00109345,0.00109345
3,646.567,3.04198,3.18686,4.34949,2.72018,0.00737,0.52174,0.00504,0.00098,0,0,0,0,3.21286,3.9529,193.753,3.74711,0.00162719,0.00162719,0.00162719
4,839.469,3.62933,2.92323,4.38809,3.08811,0.00737,0.52174,0.00504,0.00098,0,0,0,0,0.14491,101.947,280875,0.12464,0.00161749,0.00161749,0.00161749
5,1039.09,2.93694,2.44537,3.7962,2.80195,0.00737,0.52174,0.00504,0.00098,0,0,0,0,2.97657,5.35276,623.41,5.21197,0.00160099,0.00160099,0.00160099
6,1234.8,2.92878,2.43455,3.75355,2.75362,0.00737,0.52174,0.00504,0.00098,0,0,0,0,0.1466,145.396,25362.9,0.67929,0.00158448,0.00158448,0.00158448
7,1430.2,2.76301,2.5997,4.1449,2.7294,0.00388,0.26087,0.00155,0.00019,0,0,0,0,4.03677,4.90222,363.395,3.79,0.00156798,0.00156798,0.00156798
8,1624.57,2.81046,2.6946,3.31513,2.76493,0.00018,0.04348,0.00011,1e-05,0,0,0,0,4.40085,5.75997,815.431,4.12081,0.00155148,0.00155148,0.00155148
9,1823.18,2.78839,2.69913,3.12336,2.6981,0.00314,0.34783,0.00162,0.00037,0.00042,0.04348,0.0001,2e-05,4.0518,2.7244,665.251,5.19455,0.00153497,0.00153497,0.00153497
10,2019.5,2.83471,2.15261,3.26676,2.71626,0.00038,0.04348,0.00013,6e-05,0,0,0,0,5.17101,20.6662,6715.36,61.1112,0.00151847,0.00151847,0.00151847
11,2216.8,2.60745,1.87072,3.02216,2.60327,1,0.04348,0.12725,0.02926,0.00673,0.17391,0.00187,0.0002,2.86334,1.70886,71.8567,2.75802,0.00150197,0.00150197,0.00150197
12,2413.54,2.70757,1.90207,3.69748,2.66239,0.00512,0.08696,0.00317,0.00069,0.00033,0.08696,0.00019,2e-05,3.00848,1.67537,47.427,2.82361,0.00148546,0.00148546,0.00148546
13,2608.79,2.41428,1.94824,2.76868,2.60258,0.02233,0.69565,0.02426,0.00594,0.00211,0.17391,0.00167,0.00019,2.79309,1.62323,3.52922,2.63567,0.00146896,0.00146896,0.00146896
14,2810.65,2.46178,1.88499,2.80578,2.52561,0.00793,0.30435,0.00779,0.00143,0.00084,0.21739,0.00056,8e-05,2.95379,1.60539,3.89659,2.68924,0.00145246,0.00145246,0.00145246
15,3006.84,2.66978,1.7807,2.56263,2.61693,0.56034,0.34783,0.36238,0.12462,0.26151,0.21739,0.0912,0.00988,2.62117,1.51704,4.67734,2.567,0.00143595,0.00143595,0.00143595
16,3203.42,2.56504,1.81072,2.45128,2.6394,0.43163,0.43478,0.36106,0.10858,0.11468,0.24798,0.04092,0.0054,2.6709,1.46706,5.32575,2.72265,0.00141945,0.00141945,0.00141945
17,3398.05,2.55088,1.75878,2.39452,2.52206,0.4461,0.43478,0.39748,0.1158,0.14769,0.13043,0.04297,0.00433,2.61231,1.36859,3.42383,2.54763,0.00140295,0.00140295,0.00140295
18,3594.56,2.29212,1.6278,2.34752,2.34261,0.33293,0.34783,0.3923,0.13571,0.28293,0.21739,0.13779,0.0173,2.61235,1.45155,4.30953,2.61937,0.00138644,0.00138644,0.00138644
19,3795.49,2.45983,1.64044,2.42823,2.38553,0.5041,0.47826,0.43812,0.12554,0.21056,0.17391,0.06751,0.00883,2.59089,1.55334,3.96607,2.5442,0.00136994,0.00136994,0.00136994
20,3995.04,2.2458,1.37218,2.30111,2.37225,0.5291,0.43989,0.45214,0.1437,0.43922,0.34783,0.28823,0.04027,2.54769,1.22628,3.3386,2.48264,0.00135344,0.00135344,0.00135344
21,4197.31,2.30757,1.568,2.31053,2.35583,0.41729,0.43478,0.37233,0.13396,0.27128,0.34783,0.15641,0.02972,2.53411,1.37146,2.97322,2.38319,0.00133693,0.00133693,0.00133693
22,4391.6,2.31113,1.35984,2.25287,2.38192,0.54358,0.3913,0.41427,0.11515,0.26871,0.17391,0.13169,0.01981,2.54972,1.42111,2.50597,2.386,0.00132043,0.00132043,0.00132043
23,4589.85,2.38825,1.446,2.31221,2.35217,0.28379,0.6087,0.39274,0.13054,0.19581,0.34783,0.13354,0.0211,2.59187,1.37815,6.05855,2.59264,0.00130393,0.00130393,0.00130393
24,4783.42,2.45891,1.51967,2.29797,2.52391,0.44812,0.3913,0.37146,0.1023,0.10894,0.26087,0.03794,0.00703,2.59965,1.48566,2.89318,2.49938,0.00128742,0.00128742,0.00128742
25,4977.63,2.28876,1.3947,2.1919,2.41032,0.38044,0.6087,0.39349,0.10501,0.17144,0.30435,0.0853,0.0125,2.62113,1.46561,3.53687,2.47513,0.00127092,0.00127092,0.00127092
26,5172.34,2.279,1.46057,2.16339,2.40474,0.39957,0.52174,0.36937,0.10387,0.27482,0.26087,0.17784,0.02649,2.60784,1.26578,2.34179,2.42457,0.00125442,0.00125442,0.00125442
27,5367.15,2.36321,1.46777,2.21545,2.40588,0.29103,0.65217,0.3292,0.10284,0.28391,0.56522,0.26352,0.04573,2.57936,1.17291,2.20212,2.42551,0.00123791,0.00123791,0.00123791
28,5564.67,2.12327,1.30653,2.08782,2.15772,0.45036,0.65217,0.4922,0.13847,0.32652,0.47826,0.28052,0.03263,2.55828,1.22831,1.90971,2.40295,0.00122141,0.00122141,0.00122141
29,5760.77,2.17306,1.25404,2.07392,2.26092,0.64987,0.21739,0.35133,0.0942,0.32756,0.12742,0.11104,0.01394,2.67062,1.2925,2.55614,2.53211,0.00120491,0.00120491,0.00120491
